Avg Critic Score,Critic Score,Region,Vintage,Wine Name,_id
95,94,Cote de Beaune,2015,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268832
95,94,Cote de Beaune,2008,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268833
95,94,Cote de Beaune,2014,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268834
95,94,Cote de Beaune,2007,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268835
95,96,Cote de Beaune,2010,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268836
95,94,Cote de Beaune,2006,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268837
95,95,Cote de Beaune,2005,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268838
95,93,Cote de Beaune,2004,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268839
95,91,Cote de Beaune,2003,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26883a
95,92,Cote de Beaune,2001,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26883b
95,93,Cote de Beaune,2000,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26883c
94,91,Chateauneuf-du-Pape,2021,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc26883d
95,94,Cote de Beaune,2002,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26883e
94,95,Chateauneuf-du-Pape,2020,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc26883f
94,96,Chateauneuf-du-Pape,2019,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc268840
94,94,Chateauneuf-du-Pape,2018,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc268841
94,94,Chateauneuf-du-Pape,2017,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc268842
94,95,Chateauneuf-du-Pape,2016,"Domaine de la Janasse, Chateauneuf-du-Pape, Vieilles Vignes",6581ba4099d7fcd8bc268843
